a ,b,c
RandomForestClassifier,0.685,"['free sulfur dioxide', 'pH', 'alcohol', 'chlorides']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'chlorides']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.685,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.685,"['pH', 'sulphates', 'alcohol', 'residual sugar']"
RandomForestClassifier,0.685,"['pH', 'sulphates', 'citric acid', 'chlorides']"
LogisticRegression,0.685,"['sulphates', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['sulphates', 'alcohol', 'residual sugar', 'density']"
RandomForestClassifier,0.685,"['sulphates', 'alcohol', 'density', 'chlorides']"
LogisticRegression,0.685,"['sulphates', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.685,"['alcohol', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'density']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.685,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.685,"['sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
LogisticRegression,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.685,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density']"
RandomForestClassifier,0.685,"['free sulfur dioxide', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.68,['free sulfur dioxide']
RandomForestClassifier,0.68,['free sulfur dioxide']
LogisticRegression,0.68,['pH']
LogisticRegression,0.68,['sulphates']
RandomForestClassifier,0.68,['sulphates']
LogisticRegression,0.68,['alcohol']
RandomForestClassifier,0.68,['residual sugar']
LogisticRegression,0.68,['citric acid']
RandomForestClassifier,0.68,['citric acid']
LogisticRegression,0.68,['density']
RandomForestClassifier,0.68,['density']
LogisticRegression,0.68,"['free sulfur dioxide', 'pH']"
LogisticRegression,0.68,"['free sulfur dioxide', 'sulphates']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'sulphates']"
LogisticRegression,0.68,"['free sulfur dioxide', 'alcohol']"
LogisticRegression,0.68,"['free sulfur dioxide', 'residual sugar']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'residual sugar']"
LogisticRegression,0.68,"['free sulfur dioxide', 'citric acid']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'citric acid']"
LogisticRegression,0.68,"['free sulfur dioxide', 'density']"
RandomForestClassifier,0.68,"['free sulfur dioxide', 'density']"
LogisticRegression,0.68,"['pH', 'sulphates']"
LogisticRegression,0.68,"['pH', 'alcohol']"
LogisticRegression,0.68,"['pH', 'residual sugar']"
LogisticRegression,0.68,"['pH', 'citric acid']"
LogisticRegression,0.68,"['pH', 'density']"
LogisticRegression,0.68,"['sulphates', 'alcohol']"
RandomForestClassifier,0.68,"['sulphates', 'residual sugar']"
LogisticRegression,0.68,"['sulphates', 'citric acid']"
RandomForestClassifier,0.68,"['sulphates', 'citric acid']"
LogisticRegression,0.68,"['sulphates', 'density']"
RandomForestClassifier,0.68,"['sulphates', 'density']"
LogisticRegression,0.68,"['alcohol', 'citric acid']"
LogisticRegression,0.68,"['alcohol', 'density']"
RandomForestClassifier,0.68,"['alcohol', 'chlorides']"
RandomForestClassifier,0.68,"['residual sugar', 'citric acid']"
LogisticRegression,0.68,"['residual sugar', 'density']"
RandomForestClassifier,0.68,"['residual sugar', 'density']"
LogisticRegression,0.68,"['citric acid', 'density']"
RandomForestClassifier,0.68,"['citric acid', 'density']"
